,Column1.third_party_flag,Column1.city,Column1.advisory_committee_description,Column1.address_1,Column1.address_2,Column1.statement_or_summary,Column1.product_code,Column1.openfda,Column1.zip_code,Column1.applicant,Column1.decision_date,Column1.decision_code,Column1.country_code,Column1.device_name,Column1.advisory_committee,Column1.contact,Column1.expedited_review_flag,Column1.k_number,Column1.state,Column1.date_received,Column1.review_advisory_committee,Column1.postal_code,Column1.decision_description,Column1.clearance_type,Column1,Column2,Column3,Column4,Column5
20,N,West Haven,Orthopedic,385 Main Street,Suite 10,Summary,KWD,[Record],06516,Accufix Surgical Inc.,2024-02-29,SESE,US,Accu-Joint Hemi Implant,OR,Michael  Parisi,,K240268,CT,2024-01-31,OR,06516,Substantially Equivalent,Special,accufix surgical inc.,Match,Match,Match,Exact Match
23,N,Tochigi-Shi,General Hospital,2-1-5 Hirayanagi-Cho,,Summary,QNS,[Record],328-0012,TSK Laboratory International Japan KK,2024-03-08,SESE,JP,"STERiJECT Low Dead Space, STERiJECT The Invisible Needle",HO,Kana  Ebina,,K231734,,2023-06-14,HO,328-0012,Substantially Equivalent,Traditional,tsk laboratory international japan kk,Match,Match,Match,Exact Match
29,N,Sparks,Microbiology,7 Loveton Circle,,Summary,LON,[Record],21152,"Becton, Dickinson and Company",2024-03-15,SESE,US,BD Phoenix Automated Microbiology System - GN Ciprofloxacin (0.01564 µg/mL),MI,Kamisha  Gray,,K233986,MD,2023-12-18,MI,21152,Substantially Equivalent,Traditional,"becton, dickinson and company",Match,Match,Match,Exact Match
30,Y,Mountain View,Cardiovascular,627 National Avenue,,Summary,DQY,[Record],94539,"Alembic, LLC",2024-03-15,SESE,US,APRO 55 Catheter,CV,Lisa  Yen,,K234115,CA,2023-12-27,NE,94539,Substantially Equivalent,Traditional,"alembic, llc",Match,Match,Match,Exact Match
33,N,San Diego,Orthopedic,7475 Lusk Blvd.,,Summary,MQV,[Record],92121,"NuVasive, Inc.",2024-03-20,SESE,US,NuVasive AttraX Scaffold,OR,Krunal  Shah,,K240507,CA,2024-02-21,OR,92121,Substantially Equivalent,Special,"nuvasive, inc.",Match,Match,Match,Exact Match
36,Y,Daegu,Dental,"45, Secheon-ro",,Summary,EIA,[Record],42921,"MegaGen Implant Co., Ltd.",2024-03-21,SESE,KR,N2,DE,Lee  Hyo-Eun,,K240754,,2024-03-20,DE,42921,Substantially Equivalent,Special,"megagen implant co., ltd.",Match,Match,Match,Exact Match
39,N,Toronto,Radiology,"555 Richmond St West, Suite 800",,Summary,IZI,[Record],M5V 3B1,Synaptive Medical Inc.,2024-03-25,SESE,CA,Modus IR,RA,Tahmina  Afzali,,K231986,,2023-07-05,NE,M5V 3B1,Substantially Equivalent,Traditional,synaptive medical inc.,Match,Match,Match,Exact Match
40,N,Brooklyn Park,"Gastroenterology, Urology",9600 Louisiana Avenue North,,Summary,FGB,[Record],55445,"Gyrus ACMI, Inc",2024-03-25,SESE,US,RenaFlex Single-use Flexible Ureteroscope (SUURF-V Standard); RenaFlex Single-use Flexible Ureteroscope (SUURF-VR Reverse); Video System Center for Single-use Endoscopes (CV-S1),GU,Andrea  Curria,,K233275,MN,2023-09-29,GU,55445,Substantially Equivalent,Traditional,"gyrus acmi, inc",Match,Match,Match,Exact Match
47,N,Irene,Dental,1 Albert Road,,Summary,DZE,[Record],0062,Southern Implants (Pty) Ltd,2024-04-01,SESE,ZA,External Hex Implant System,DE,Colin  Saffy,,K232726,,2023-09-06,DE,0062,Substantially Equivalent,Traditional,southern implants (pty) ltd,Match,Match,Match,Exact Match
65,N,Durham,Orthopedic,4001 E. NC 54 Highway,Suite 3160,Summary,HSN,[Record],27709,"restor3d, Inc.",2024-04-29,SESE,US,restor3d Kinos Axiom Total Ankle System,OR,Anika  Moorjani,,K240591,NC,2024-03-01,OR,27709,Substantially Equivalent,Traditional,"restor3d, inc.",Match,Match,Match,Exact Match
66,N,Palo Alto,Radiology,3100 Hansen Way,,Summary,IYE,[Record],94304,Varian Medical Systems Inc.,2024-04-30,SESE,US,Ethos Treatment Management (3.0); Ethos Treatment Planning (2.0),RA,Lynn  Allman,,K232923,CA,2023-09-19,RA,94304,Substantially Equivalent,Traditional,varian medical systems inc.,Match,Match,Match,Exact Match
70,N,Austin,"General, Plastic Surgery",7000 West William Cannon Drive,,Summary,GEI,[Record],78735,ArthroCare Corporation,2024-05-08,SESE,US,FLOW 90? Wand,SU,Srividya  Pothana,,K240964,TX,2024-04-09,SU,78735,Substantially Equivalent,Special,arthrocare corporation,Match,Match,Match,Exact Match
71,N,Plan-les-Ouates,Orthopedic,Chemin du Pré-Fleuri 3,,Summary,OVE,[Record],1228,Spineart SA,2024-05-10,SESE,CH,SCARLET® AC-Ti,OR,Estelle  Lefeuvre,,K240699,,2024-03-14,OR,1228,Substantially Equivalent,Traditional,spineart sa,Match,Match,Match,Exact Match
73,N,Dallas,Orthopedic,2300 N. Haskell Ave,,Summary,OVD,[Record],75204,Evolution Spine,2024-05-15,SESE,US,E3D-A Interbody System,OR,Todd  Wallenstein,,K240368,TX,2024-02-06,OR,75204,Substantially Equivalent,Traditional,evolution spine,Match,Match,Match,Exact Match
74,N,Conshohocken,Orthopedic,"425 Fayette St., #617",,Summary,PHX,[Record],19428,Fix Surgical,2024-05-15,SESE,US,Augment Off-Axis Instrument System,OR,Brian  Karpinski,,K241043,PA,2024-04-17,OR,19428,Substantially Equivalent,Special,fix surgical,Match,Match,Match,Exact Match
75,N,Irvine,Cardiovascular,1 Edwards Way,,Summary,DXE,[Record],92614,Edwards Lifesciences,2024-05-20,SESE,US,Fogarty Corkscrew Catheters; Fogarty Graft Thrombectomy Catheters,CV,Aeree  Lee,,K233619,CA,2023-11-13,CV,92614,Substantially Equivalent,Traditional,edwards lifesciences,Match,Match,Match,Exact Match
77,N,South Jordan,Cardiovascular,1600 West Merit Parkway,,Summary,DQO,[Record],84095,"Merit Medical Systems, Inc.",2024-05-22,SESE,US,Impress Angiographic Catheter,CV,Gamaliel  Figueroa,,K233268,UT,2023-09-29,CV,84095,Substantially Equivalent,Special,"merit medical systems, inc.",Match,Match,Match,Exact Match
79,N,Leuven,Orthopedic,Technologielaan 15,,Summary,QHE,[Record],3001,Materialise N.V.,2024-05-22,SESE,BE,"Materialise Shoulder System, Materialise Shoulder Guide and Models, SurgiCase Shoulder Planner",OR,Lisa Barbara  Parolari,,K241143,,2024-04-25,OR,3001,Substantially Equivalent,Special,materialise n.v.,Match,Match,Match,Exact Match
82,N,Helotes,Orthopedic,846 Silver Springs,,Summary,KTT,[Record],78023,"Metric Medical Devices, Inc.",2024-05-29,SESE,US,LINK(TM) External Fixator,OR,William Casey  Fox,,K240049,TX,2024-01-08,OR,78023,Substantially Equivalent,Traditional,"metric medical devices, inc.",Match,Match,Match,Exact Match
83,N,Leuven,Radiology,Technologielaan 15,,Summary,LLZ,[Record],3001,Materialise NV,2024-05-31,SESE,BE,Mimics Enlight CMF,RA,Simona  Beri,,K223427,,2022-11-14,DE,3001,Substantially Equivalent,Traditional,materialise nv,Match,Match,Match,Exact Match
86,N,Northfield,Anesthesiology,Three Lakes Drive,,Summary,BZE,[Record],60093,"Medline Industries, LP",2024-06-04,SESE,US,Hudson RCI Dri-Tech Breathing Circuits; HUD99035/Dri-Tech Adult Circuit; HUD99035KIT/Dri-Tech Adult Circuit Kit; HUD99098KIT/Single Limb Adult Dri-Tech Kit; HUD99098KITF/Single Limb Adult Dri-Tech Filter Kit; HUD900/Dri-Tech Ventilator Accessory; HUD901/Dri-Tech Ventilator Accessory Extension Line,AN,Phyllis  Kondor,,K234032,IL,2023-12-20,AN,60093,Substantially Equivalent,Traditional,"medline industries, lp",Match,Match,Match,Exact Match
90,N,Shenzhen,Cardiovascular,No.1 Jinkui Road,Futian Free Trade Zone,Summary,LIT,[Record],518038,"OrbusNeich Medical (Shenzhen) Co., Ltd.",2024-06-11,SESE,CN,JADE PLUS PTA Balloon Dilatation Catheter,CV,Jerry  Cheung,,K241025,,2024-04-15,CV,518038,Substantially Equivalent,Traditional,"orbusneich medical (shenzhen) co., ltd.",Match,Match,Match,Exact Match
108,N,Mississauga,Cardiovascular,5825 Explorer Drive,,Summary,DRE,[Record],L4W5P6,Baylis Medical Company Inc.,2024-07-12,SESE,CA,VersaCross Connect Transseptal Dilator,CV,Ezgi  Tas,,K241720,,2024-06-14,CV,L4W5P6,Substantially Equivalent,Special,baylis medical company inc.,Match,Match,Match,Exact Match
110,N,Bethlehem,General Hospital,824 Twelfth Avenue,,Summary,QEH,[Record],18018,B. Braun Medical Inc.,2024-07-13,SESE,US,Omnifix Syringe NRFit,HO,Smith  Kimberly,,K241385,PA,2024-05-15,HO,18018,Substantially Equivalent,Traditional,b. braun medical inc.,Match,Match,Match,Exact Match
111,N,Plan Les Ouates,Orthopedic,3 Chemin Du Pré-Fleuri,,Summary,OVD,[Record],1228,Spineart SA,2024-07-18,SESE,CH,Juliet® Ti LL Lumbar Interbody Device,OR,Estelle  Lefeuvre,,K241321,,2024-05-10,OR,1228,Substantially Equivalent,Traditional,spineart sa,Match,Match,Match,Exact Match
117,N,Center Valley,Cardiovascular,3773 Corporate Parkway,,Summary,DTK,[Record],18034,B. Braun Medical Inc.,2024-07-31,SESE,US,VenaTech® LP Vena Cava Filter System and VenaTech® Convertible Vena Cava Filter System,CV,Tracy  Larish,,K240578,PA,2024-03-01,CV,18034,Substantially Equivalent,Traditional,b. braun medical inc.,Match,Match,Match,Exact Match
122,N,Danvers,Cardiovascular,22 Cherry Hill Drive,,Summary,DYB,[Record],01923,Abiomed Inc.,2024-08-06,SESE,US,Abiomed 14Fr Low Profile Introducer Kit,CV,Anshul  Shah,,K241708,MA,2024-06-13,CV,01923,Substantially Equivalent,Traditional,abiomed inc.,Match,Match,Match,Exact Match
124,N,Plan-les-Ouates,Neurology,Chemin du Pré-Fleuri 3,,Summary,OLO,[Record],1228,Spineart SA,2024-08-07,SESE,CH,SPINEART Navigation Instrument System,NE,Estelle  Lefeuvre,,K241644,,2024-06-07,OR,1228,Substantially Equivalent,Special,spineart sa,Match,Match,Match,Exact Match
126,N,Alpharetta,Neurology,5405 Windward Parkway,,Statement,GXD,[Record],30004,"Avanos Medical, Inc.",2024-08-14,SESE,US,"COOLIEF* Radiofrequency Generator (CRG-BASIC, CRG-BASIC-R, CRG-ADVANCED, CRG-ADVANCED-R)",NE,Liane  Miller,,K242057,GA,2024-07-15,NE,30004,Substantially Equivalent,Special,"avanos medical, inc.",Match,Match,Match,Exact Match
138,N,Rillieux-la-Pape,Orthopedic,5389 Route de Strasbourg - Vancia,,Summary,MAX,[Record],69140,Medicrea International S.A.S. (Medtronic),2024-09-06,SESE,FR,IB3D PL Spinal System,OR,Cecile  Humbert,,K241164,,2024-04-26,OR,69140,Substantially Equivalent,Traditional,medicrea international s.a.s. (medtronic),Match,Match,Match,Exact Match
141,N,Chungchongnam-do,Orthopedic,"12, Yeongsanhong 1-gil, Ipjang-Myeon, Seobuk-Gu, Cheonan-si",,Summary,JWH,[Record],31056,"Corentec Co., Ltd.",2024-09-12,SESE,KR,EXULT Knee Replacement System,OR,Seo  Sanghee,,K242401,,2024-08-13,OR,31056,Substantially Equivalent,Special,"corentec co., ltd.",Match,Match,Match,Exact Match
142,N,Jacksonville,Dental,11201 Saint Johns Industrial Parkway South,,Summary,DZL,[Record],32246,KLS-Martin L.P.,2024-09-17,SESE,US,KLS Martin Drill-Free MMF Screw,DE,Melissa  Bachorski,,K233721,FL,2023-11-21,DE,32246,Substantially Equivalent,Traditional,kls-martin l.p.,Match,Match,Match,Exact Match
144,N,Daegu,Dental,"45, Secheon-ro 7-gil, Dasa-eup, Dalseong-gun",,Summary,NHA,[Record],42921,"MegaGen Implant Co., Ltd.",2024-09-18,SESE,KR,"TiGEN Abutment, PMMA Abutment and Scan Healing Abutment",DE,Hyo-Eun  Lee,,K234142,,2023-12-29,DE,42921,Substantially Equivalent,Traditional,"megagen implant co., ltd.",Match,Match,Match,Exact Match
148,N,Toronto,"General, Plastic Surgery",50 Wellington Street East,Suite 400,Summary,NEU,[Record],M5E 1C8,"MOLLI Surgical, Inc.",2024-09-25,SESE,CA,MOLLI 2 System,SU,Joseph  De Croos,,K240042,,2024-01-05,SU,M5E 1C8,Substantially Equivalent,Traditional,"molli surgical, inc.",Match,Match,Match,Exact Match
152,N,Germantown,Orthopedic,"6800 Poplar Avenue, #120",,Summary,JWH,[Record],38138,"OsteoRemedies, LLC",2024-10-02,SESE,US,REMEDY Stemmed Knee Spacer System with All-Poly Tibial Component,OR,Eric  Stookey,,K242377,TN,2024-08-09,OR,38138,Substantially Equivalent,Traditional,"osteoremedies, llc",Match,Match,Match,Exact Match
154,N,Irvine,Neurology,153 Technology,,Summary,ONN,[Record],92618,"OrthAlign, Inc",2024-10-03,SESE,US,Lantern® Hip,NE,Karyl  Haskell,,K242616,CA,2024-09-03,OR,92618,Substantially Equivalent,Special,"orthalign, inc",Match,Match,Match,Exact Match
